OBJECTID,lon,lat,StaType,DateModif,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationName,StationFacilityName,StationAliases,x,y
261,-111.638801,35.192292,Station Building (with waiting room),2018-12-13T07:03:26,BUS,86001,AZ,Flagstaff, ,880 East Butler Ave.,Greyhound Station,FGG,"Flagstaff, AZ",Greyhound Station, ,-111.638812073608,35.192297375621
262,-97.766812,31.141597,Curbside Bus Stop only (no shelter),2025-07-19T02:16:39,BUS,76544,TX,Fort Hood, ,"Building 18010, 48th Street", ,FHD,"Fort Hood, TX", ,"Ft Hood,Ft. Hood,Hood,Cavazos,Ft Cavazos,Ft. Cavazos",-97.7668196759091,31.1416023848564
263,-118.918319,34.396009,Curbside Bus Stop only (no shelter),2018-09-29T07:04:40,BUS,93015,CA,Fillmore, ,718 West Ventura Street, ,FIL,"Fillmore, CA", , ,-118.918331327832,34.3960138545358
264,-111.648871,35.197374,Station Building (with waiting room),2019-02-14T07:03:20,TRAIN,86001,AZ,Flagstaff, ,1 East Route 66,Amtrak Station,FLG,"Flagstaff, AZ",Amtrak Station, ,-111.648882075654,35.1973793757505
265,-83.651728,43.015425,Station Building (with waiting room),2017-11-06T07:04:53,TRAIN,48503,MI,Flint, ,1407 South Dort Highway, ,FLN,"Flint, MI", , ,-83.6517326628184,43.0154332639983
266,-79.757056,34.199157,Station Building (with waiting room),2017-11-06T07:04:53,TRAIN,29506,SC,Florence, ,805 East Day Street, ,FLO,"Florence, SC", , ,-79.7570588648118,34.1991636970212
267,-91.313529,40.629558,Station Building (with waiting room),2021-12-16T07:04:20,TRAIN,52627,IA,Fort Madison,Suite 1,810 10th Street ,Historic Santa Fe Station,FMD,"Fort Madison, IA",Historic Santa Fe Station,"Ft Madison,Ft. Madison,Madison",-91.3135356860096,40.6295654312599
268,-103.802818,40.247169,Station Building (with waiting room),2017-11-06T07:04:53,TRAIN,80701,CO,Fort Morgan, ,South Ensign Street and Main Street, ,FMG,"Fort Morgan, CO", ,"Ft Morgan,Ft. Morgan,Morgan",-103.802827890749,40.2471755719948
269,-122.007496,37.559093,Station Building (with waiting room),2019-02-14T07:03:20,TRAIN,94536,CA,Fremont, ,37260 Fremont Boulevard,Amtrak/ACE Station,FMT,"Fremont, CA",Amtrak/ACE Station, ,-122.007509128138,37.5590979558676
270,-119.782926,36.738457,Station Building (with waiting room),2018-09-29T07:04:41,TRAIN,93721,CA,Fresno, ,2650 Tulare Street, ,FNO,"Fresno, CA", , ,-119.782938690066,36.7384620377573
271,-71.420033,42.275993,Platform with Shelter,2018-09-14T07:04:46,TRAIN,01702,MA,Framingham, ,417 Waverly Street, ,FRA,"Framingham, MA", , ,-71.42003370429,42.2760016457296
272,-77.40558,39.411855,Station Building (with waiting room),2019-02-14T07:03:20,BUS,21704,MD,Frederick, ,100 South East Street,Transit Center/MARC Station,FRC,"Frederick, MD",Transit Center/MARC Station, ,-77.4055824419982,39.4118628746351
273,-70.102358,43.855035,Station Building (with waiting room),2017-11-06T07:04:54,TRAIN,04032,ME,Freeport, ,23 Depot Road, ,FRE,"Freeport, ME", , ,-70.1023583623106,43.8550439824125
274,-105.991608,39.225516,Curbside Bus Stop only (no shelter),2018-07-13T07:04:30,BUS,80421,CO,Fairplay, ,640 US Highway 285, ,FRP,"Fairplay, CO", , ,-105.991618278341,39.2255222795226
275,-77.382299,39.416261,Curbside Bus Stop only (no shelter),2018-09-27T07:04:47,BUS,21705,MD,Frederick, ,1341 Hughes Ford Road,Frederick Municipal Airport,FRR,"Frederick, MD",Frederick Municipal Airport, ,-77.3823014344987,39.416268875996
276,-121.92364,37.53915,Curbside Bus Stop only (no shelter),2018-09-29T07:04:41,BUS,94538,CA,Fremont, ,42801 Mission Blvd,VTA Transit Bus Stop,FRT,"Fremont, CA",VTA Transit Bus Stop, ,-121.923653113944,37.5391549602597
277,-78.933168,39.6489,Curbside Bus Stop only (no shelter),2018-09-27T07:04:47,BUS,21532,MD,Frostburg, ,101 Braddock Road,Frostburg State University,FSB,"Frostburg, MD",Frostburg State University, ,-78.9331709324612,39.648907860524
278,-119.635019,37.472699,Curbside Bus Stop only (no shelter),2018-02-18T07:04:25,BUS,93623,CA,Fish Camp, ,1122 Highway 41, ,FSH,"Fish Camp, CA", , ,-119.635031745984,37.4727041179695
279,-124.1156,44.160514,Curbside Bus Stop only (no shelter),2021-10-15T07:04:07,BUS,97439,OR,Florence, ,93100 Oregon Coast Highway,Carl G. Washburne State Park,FSP,"Florence, OR",Carl G. Washburne State Park,"Washburne State Park,Carl Washburne State Park",-124.115614428725,44.1605192421441
280,-124.146188,40.583672,Curbside Bus Stop only (no shelter),2018-09-29T07:04:41,BUS,95540,CA,Fortuna, ,719 South Fortuna Blvd, ,FTA,"Fortuna, CA", , ,-124.146201834181,40.5836770177755
281,-73.389681,43.853788,Platform with Shelter,2018-09-14T07:04:46,TRAIN,12883,NY,Ticonderoga, ,NYS Hwy 74 and Sandy Redoubt, ,FTC,"Ticonderoga, NY", , ,-73.3896824534671,43.8537968703653
282,-80.17,26.119256,Station Building (with waiting room),2017-11-06T07:04:55,TRAIN,33312,FL,Fort Lauderdale, ,200 Southwest 21st Terrace, ,FTL,"Fort Lauderdale, FL", ,"Ft Lauderdale,Ft. Lauderdale,Lauderdale",-80.170002683297,26.1192607745881
283,-81.81506,26.714124,Curbside Bus Stop only (no shelter),2025-04-18T07:04:42,BUS,33917,FL,Fort Myers, ,17308 Park 78 Drive, ,FTM,"North Fort Myers, FL", ,"Ft Myers,Ft. Myers,Myers",-81.8150631780497,26.7141288861648
284,-88.888772,36.525704,Station Building (with waiting room),2017-11-06T07:04:55,TRAIN,42041,KY,Fulton, ,21 Newton Road, ,FTN,"Fulton, KY", , ,-88.8887776577748,36.5257108125915
285,-97.326673,32.752563,Station Building (with waiting room),2023-02-01T07:07:22,TRAIN,76102,TX,Fort Worth, ,1001 Jones Street,Central Station,FTW,"Fort Worth, TX",Central Station,"Ft Worth,Ft. Worth,Worth",-97.3266806566695,32.752568708881
286,-117.922849,33.868969,Station Building (with waiting room),2018-09-14T07:04:46,TRAIN,92832,CA,Fullerton, ,120 East Santa Fe Avenue, ,FUL,"Fullerton, CA", , ,-117.922861118524,33.8689738537293
287,-121.967003,37.406778,Platform only (no shelter),2018-09-14T07:04:46,TRAIN,95054,CA,Santa Clara, ,5099 Stars and Stripes Drive,Great America,GAC,"Santa Clara, CA",Great America, ,-121.967016105147,37.4067829456858
288,-81.162366,35.269186,Station Building (with waiting room),2017-11-06T07:04:55,TRAIN,28054,NC,Gastonia, ,350 Hancock Street, ,GAS,"Gastonia, NC", , ,-81.1623693390622,35.269192878474
289,-90.364106,40.944678,Station Building (with waiting room),2017-11-06T07:04:56,TRAIN,61401,IL,Galesburg, ,225 South Seminary Street, ,GBB,"Galesburg, IL", , ,-90.364112448921,40.9446855399045
290,-78.003337,35.385675,Station Building (with waiting room),2018-09-27T07:04:47,BUS,27350,NC,Goldsboro, ,103 North Carolina Street, ,GBO,"Goldsboro, NC", , ,-78.0033393956621,35.3856820158925
291,-123.79523,40.097719,Curbside Bus Stop only (no shelter),2018-04-05T07:04:11,BUS,95542,CA,Garberville, ,924 Redwood Drive, ,GBV,"Garberville, CA", , ,-123.795243714254,40.0977240137726
292,-88.00276,44.517053,Platform with Shelter,2019-07-03T07:03:26,BUS,54302,WI,Green Bay, ,901 University Avenue,Transportation Center,GBY,"Green Bay, WI",Transportation Center, ,-88.0027661489442,44.5170612666408
293,-112.144648,36.05364,Curbside Bus Stop only (no shelter),2019-02-14T07:03:20,BUS,86023,AZ,Grand Canyon Village, ,202 Village Loop Drive,Maswik Lodge,GCB,"Grand Canyon Village, AZ",Maswik Lodge, ,-112.144659250942,36.0536454564474
294,-100.873256,37.964365,Station Building (with waiting room),2018-09-14T07:04:47,TRAIN,67846,KS,Garden City, ,100 North 7th Street, ,GCK,"Garden City, KS", , ,-100.873264940218,37.9643714246038
295,-118.258868,34.123706,Platform with Shelter,2018-09-14T07:04:47,TRAIN,91204,CA,Glendale, ,400 West Cerritos Avenue, ,GDL,"Glendale, CA", , ,-118.258880195987,34.1237108633353
296,-117.536887,47.626646,Curbside Bus Stop only (no shelter),2018-09-28T07:04:42,BUS,99224,WA,Spokane, ,9000 West Airport Drive,Spokane Airport,GEG,"Spokane, WA",Spokane Airport, ,-117.53690106702,47.6266521349393
297,-72.600765,42.585458,Station Building (with waiting room),2018-09-14T07:04:47,TRAIN,01301,MA,Greenfield, ,12 Olive Street, ,GFD,"Greenfield, MA", , ,-72.6007661094004,42.585466665012
298,-97.110835,47.917522,Station Building (with waiting room),2017-11-06T07:04:57,TRAIN,58201,ND,Grand Forks, ,5555 DeMers Avenue, ,GFK,"Grand Forks, ND", , ,-97.11084430646,47.9175300989506
299,-73.64486,43.308911,Curbside Bus Stop only (no shelter),2024-07-27T07:00:00,BUS,12801,NY,Glens Falls, ,2 Hudson Avenue, ,GFS,"Glens Falls, NY", ,"Glenns Falls,Hudson Falls",-73.6448614998099,43.3089197617135
300,-106.636188,48.194854,Station Building (with waiting room),2017-11-06T07:04:57,TRAIN,59230,MT,Glasgow, ,424 1st  Avenue South, ,GGW,"Glasgow, MT", , ,-106.636199855105,48.1948612839986
301,-123.911654,46.025188,Curbside Bus Stop only (no shelter),2019-06-19T07:03:23,BUS,97301,OR,Gearhart, ,3453 U.S. Highway 101 North,Dollar General Store,GHN,"Gearhart - Northbound, OR",Dollar General Store, ,-123.911668776996,46.0251933643256
302,-123.912012,46.025529,Curbside Bus Stop only (no shelter),2019-06-19T07:03:23,BUS,97301,OR,Gearhart, ,3518 U.S. Highway 101 North,Gearhart Bowl & Fultano's Pizza,GHT,"Gearhart - Southbound, OR",Gearhart Bowl & Fultano's Pizza, ,-123.912026777197,46.0255343639762
303,-121.687175,43.477437,Curbside Bus Stop only (no shelter),2021-07-15T07:04:06,BUS,97737,OR,Gilchrist, ,138303 Highway 97, ,GIL,"Gilchrist, OR", , ,-121.687188933122,43.477442434052
304,-108.569929,39.064375,Station Building (with waiting room),2017-11-06T07:04:57,TRAIN,81501,CO,Grand Junction, ,339 South 1st Street, ,GJT,"Grand Junction, CO", , ,-108.569939829713,39.0643810790141
305,-97.140896,33.625159,Station Building (with waiting room),2017-11-06T07:04:57,TRAIN,76240,TX,Gainesville, ,605 East California Street, ,GLE,"Gainesville, TX", , ,-97.1409036642253,33.6251648799059
306,-87.998055,40.752547,Platform with Shelter,2017-11-06T07:04:58,TRAIN,60938,IL,Gilman, ,800 US Highway 24 West, ,GLM,"Gilman, IL", , ,-87.9980607492315,40.7525546377246
307,-87.805562,42.075038,Station Building (with waiting room),2017-11-06T07:04:58,TRAIN,60025,IL,Glenview, ,1116 Depot Street, ,GLN,"Glenview, IL", , ,-87.8055678214674,42.0750458774898
308,-108.740548,35.529176,Platform only (no shelter),2022-11-21T10:50:00,TRAIN,87301,NM,Gallup, ,201 East Highway 66, ,GLP,"Gallup, NM", , ,-108.740558509018,35.5291815904991
309,-121.566798,37.003961,Curbside Bus Stop only (no shelter),2018-09-21T07:04:45,BUS,95020,CA,Gilroy, ,7250 Monterey Street, ,GLY,"Gilroy, CA", , ,-121.566811000161,37.0039659395745
310,-79.557945,43.195949,Platform with Shelter,2017-11-06T07:04:58,TRAIN,L3M 3H6,ON,Grimsby, ,99 Ontario Street, ,GMS,"Grimsby, ON", , ,-79.557948399591,43.1959574961515
311,-79.546893,40.304986,Platform with Shelter,2019-02-14T07:03:20,TRAIN,15601,PA,Greensburg, ,Harrison Avenue and Seton Hill Drive,Amtrak Station,GNB,"Greensburg, PA",Amtrak Station, ,-79.5468961679356,40.3049939626812
312,-82.323379,29.673652,Station Building (with waiting room),2023-07-21T07:00:00,BUS,32609,FL,Gainesville, ,2340 North Main Street, ,GNF,"Gainesville, FL", , ,-82.3233824229255,29.673657586442
313,-79.54705,40.302773,Curbside Bus Stop only (no shelter),2019-02-14T07:03:21,BUS,15601,PA,Greensburg, ,41 Bell Way,Westmoreland Transit Center,GNG,"Greensburg, PA",Westmoreland Transit Center, ,-79.5470531682945,40.3027809619322
314,-83.819694,34.288897,Station Building (with waiting room),2017-11-06T07:04:59,TRAIN,30501,GA,Gainesville, ,116 Industrial Boulevard, ,GNS,"Gainesville, GA", , ,-83.81969806732,34.2889035704499
315,-124.099324,43.984965,Platform only (no shelter),2021-02-23T07:04:08,BUS,97439,OR,Florence, ,1950 21st St,Grocery Outlet Florence,GOF,"Florence, OR",Grocery Outlet Florence, ,-124.099338393082,43.9849702337497
316,-121.744822,45.302445,Curbside Bus Stop only (no shelter),2022-03-04T07:04:02,BUS,97028,OR,Government Camp, ,Milepost 54 Mount Hood Highway, ,GOV,"Government Camp, OR", , ,-121.744836289881,45.3024505471242
317,-113.219523,48.442333,Station Building (with waiting room),2017-11-06T07:04:59,TRAIN,59434,MT,East Glacier Park, ,400 Highway 49 North, ,GPK,"East Glacier Park, MT", ,"glacier,browning",-113.219536400912,48.44233964813
318,-105.935503,40.084188,Station Building (with waiting room),2017-11-06T07:04:59,TRAIN,80446,CO,Granby, ,438 Railroad Avenue, ,GRA,"Granby, CO", , ,-105.935513366654,40.084194399433
319,-123.614009,45.074259,Curbside Bus Stop only (no shelter),2020-07-10T07:05:08,BUS,97347,OR,Grand Ronde, ,9605 Grand Ronde Rd,Community Center,GRC,"Grand Ronde, OR",Community Center, ,-123.614023533887,45.0742643439117
320,-122.418117,45.501806,Curbside Bus Stop only (no shelter),2021-05-21T07:03:58,BUS,97080,OR,Gresham, ,1200 NE 8th Street, ,GRH,"Gresham, OR", , ,-122.418131437621,45.501811490194
321,-110.165228,38.992039,Platform with Shelter,2019-12-03T07:03:23,TRAIN,84525,UT,Green River, ,250 South Broadway, ,GRI,"Green River, UT", , ,-110.165239159008,38.9920449578622
322,-123.581015,45.058588,Curbside Bus Stop only (no shelter),2020-07-10T07:05:08,BUS,97347,OR,Grand Ronde, ,27100 Salmon River Hwy,Spirit Mountain Casino,GRM,"Grand Ronde, OR",Spirit Mountain Casino,Spirit Mountain Casino,-123.581029525615,45.0585933462075
323,-77.377078,35.610198,Station Building (with waiting room),2018-09-15T07:04:40,BUS,27834,NC,Greenville, ,600 South Pitt Street, ,GRN,"Greenville, NC", ,"East Carolina University,Shaw University,Kinston",-77.3770802167599,35.6102050854754
324,-79.78708,36.069797,Station Building (with waiting room),2018-09-14T07:04:47,TRAIN,27401,NC,Greensboro, ,236 East Washington Street, ,GRO,"Greensboro, NC", , ,-79.787082971787,36.0698040987435
325,-85.672447,42.955788,Station Building (with waiting room),2018-09-29T07:04:42,TRAIN,49503,MI,Grand Rapids, ,440 Century Avenue SW, ,GRR,"Grand Rapids, MI", , ,-85.6724522735265,42.9557961453782
326,-82.413486,34.858256,Station Building (with waiting room),2017-11-06T07:04:59,TRAIN,29601,SC,Greenville, ,1120 West Washington Street, ,GRV,"Greenville, SC", , ,-82.4134896874173,34.8582627446077
327,-87.338949,41.604269,Station Building (with waiting room),2018-09-26T07:04:45,BUS,46402,IN,Gary, ,100 West 4th Avenue, ,GRY,"Gary, IN", , ,-87.3389546369312,41.6042768223168
328,-107.323218,39.547903,Station Building (with waiting room),2017-11-06T07:04:59,TRAIN,81601,CO,Glenwood Springs, ,413 7th Street, ,GSC,"Glenwood Springs, CO", , ,-107.323228613995,39.5479092300097
329,-123.969462,41.84561,Curbside Bus Stop only (no shelter),2018-09-21T07:04:45,BUS,95543,CA,Gasquet, ,10350 Highway 199, ,GSQ,"Gasquet, CA", , ,-123.969476002435,41.8456151160794
330,-119.843092,34.437729,Platform with Shelter,2017-11-06T07:05:00,TRAIN,93117,CA,Goleta, ,25 South La Patera Lane, ,GTA,"Goleta, CA", , ,-119.843104481808,34.4377338049037
331,-123.32402,42.44302,Curbside Bus Stop only (no shelter),2024-04-20T07:07:00,BUS,97526,OR,Grants Pass, ,132 Northeast B Street, ,GTP,"Grants Pass, OR", , ,-123.324034005818,42.443025213205
332,-79.100326,39.692354,Curbside Bus Stop only (no shelter),2018-09-27T07:04:48,BUS,21536,MD,Grantsville, ,3000 Chestnut Ridge Road, ,GTV,"Grantsville, MD", , ,-79.1003289868809,39.6923618623237
333,-120.57341,34.962927,Station Building (with waiting room),2018-09-14T07:04:48,TRAIN,93434,CA,Guadalupe, ,330 Guadalupe Street, ,GUA,"Guadalupe, CA", ,santa maria,-120.57342264371,34.9629318143608
334,-89.09478,30.369036,Platform only (no shelter),2025-03-21T07:06:38,TRAIN,39501,MS,Gulfport, ,1419 27th Avenue, ,GUF,"Gulfport, MS", , ,-89.0947853634926,30.3690415361584
335,-72.67361,41.275369,Station Building (with waiting room),2024-08-22T10:54:59,TRAIN,06437,CT,Guilford, ,325 Old Whitfield Street, ,GUI,"Guilford, CT", , ,-72.6736110536434,41.2753774118868
336,-106.922057,38.544173,Curbside Bus Stop only (no shelter),2024-07-12T07:00:00,BUS,81230,CO,Gunnison, ,411 East Tomichi Street, ,GUN,"Gunnison, CO", , ,-106.92206741139,38.5441791236716
337,-120.629266,35.12126,Platform with Shelter,2020-03-06T07:11:09,TRAIN,93433,CA,Grover Beach, ,180 West Grand Avenue, ,GVB,"Grover Beach, CA", , ,-120.629278667266,35.1212648258461
338,-75.467999,44.335612,Curbside Bus Stop only (no shelter),2018-06-22T07:04:36,BUS,13642,NY,Gouverneur, ,49 East Main Street, ,GVR,"Gouverneur, NY", , ,-75.4680011733186,44.3356208761379
339,-90.176454,33.517159,Station Building (with waiting room),2017-11-06T07:05:00,TRAIN,38930,MS,Greenwood, ,Carrollton Avenue and East Gibson Street, ,GWD,"Greenwood, MS", , ,-90.1764598199776,33.5171651604657
340,-84.708063,44.64765,Curbside Bus Stop only (no shelter),2018-09-27T07:04:48,BUS,49738,MI,Grayling, ,2615 South I-75 Business Loop, ,GYG,"Grayling, MI", , ,-84.7080681577263,44.6476584806297
341,-84.691914,45.027057,Curbside Bus Stop only (no shelter),2018-09-27T07:04:48,BUS,49734,MI,Gaylord, ,1041 West Main Street, ,GYL,"Gaylord, MI", , ,-84.6919191950676,45.0270655431807
342,-77.722497,39.64466,Curbside Bus Stop only (no shelter),2018-09-27T07:04:48,BUS,21740,MD,Hagerstown, ,123 West Franklin Street, ,HAG,"Hagerstown, MD", , ,-77.7224995555118,39.6446679079258
343,-79.699218,34.883663,Station Building (with waiting room),2018-09-14T07:04:48,TRAIN,28345,NC,Hamlet, ,2 Main Street, ,HAM,"Hamlet, NC", , ,-79.6992208819562,34.8836698481066
344,-76.878256,40.26205,Station Building (with waiting room),2017-11-06T07:05:01,TRAIN,17101,PA,Harrisburg, ,4th and Chestnut Streets, ,HAR,"Harrisburg, PA", , ,-76.878258332072,40.262058062326
345,-98.387534,40.584276,Station Building (with waiting room),2017-11-06T07:05:01,TRAIN,68901,NE,Hastings, ,501 West First Street, ,HAS,"Hastings, NE", , ,-98.3875425907158,40.5842829880927
346,-109.678352,48.554465,Station Building (with waiting room),2017-11-06T07:05:01,TRAIN,59501,MT,Havre, ,235 Main Street, ,HAV,"Havre, MT", , ,-109.678364649309,48.554472019792
347,-122.099277,37.665997,Platform with Shelter,2017-11-06T07:05:02,TRAIN,94541,CA,Hayward, ,22555 Meekland Avenue, ,HAY,"Hayward, CA", , ,-122.099290154328,37.666001958173
348,-90.394347,31.86132,Platform with Shelter,2017-11-06T07:05:02,TRAIN,39083,MS,Hazlehurst, ,North Ragsdale Avenue and East Conway Street, ,HAZ,"Hazlehurst, MS", , ,-90.3943527893682,31.861325810267
349,-89.286463,31.326921,Station Building (with waiting room),2018-08-15T07:04:57,TRAIN,39401,MS,Hattiesburg, ,308 Newman Street, ,HBG,"Hattiesburg, MS", , ,-89.286468460028,31.3269267374369
350,-122.869456,38.606841,Curbside Bus Stop only (no shelter),2018-07-14T07:04:32,BUS,95448,CA,Healdsburg, ,149 Healdsburg Avenue, ,HEA,"Healdsburg, CA", , ,-122.869469381605,38.6068459774558
351,-91.432558,38.707283,Station Building (with waiting room),2017-11-06T07:05:02,TRAIN,65041,MO,Hermann, ,301 Wharf Street, ,HEM,"Hermann, MO", , ,-91.432564539857,38.7072900902175
352,-110.853894,39.684036,Station Building (with waiting room),2017-11-06T07:05:02,TRAIN,84526,UT,Helper, ,1 Depot Street, ,HER,"Helper, UT", , ,-110.853905384066,39.6840419919672
353,-72.681314,41.768761,Station Building (with waiting room),2017-11-06T07:05:02,TRAIN,06103,CT,Hartford, ,One Union Place, ,HFD,"Hartford, CT", , ,-72.6813150854701,41.7687695066808
354,-77.731078,39.324452,Platform with Shelter,2018-09-14T07:04:48,TRAIN,25425,WV,Harpers Ferry, ,Potomac Street & Shenandoah Street, ,HFY,"Harpers Ferry, WV", , ,-77.7310805379901,39.3244598442996
355,-78.01178,40.483665,Station Building (with waiting room),2017-11-06T07:05:03,TRAIN,16652,PA,Huntingdon, ,Fourth and Allegheny Streets, ,HGD,"Huntingdon, PA", , ,-78.01178270234,40.4836730606734
356,-88.54963,47.118726,Curbside Bus Stop only (no shelter),2018-09-27T07:04:48,BUS,49931,MI,Houghton, ,Townsend Drive and Hubbell Street,Michigan Tech University,HGH,"Houghton, MI",Michigan Tech University, ,-88.5496366544252,47.1187346259979
357,-84.80111,44.335421,Curbside Bus Stop only (no shelter),2018-09-27T07:04:49,BUS,48629,MI,Houghton Lake, ,9391 West Lake City Road, ,HGL,"Houghton Lake, MI", , ,-84.8011151526971,44.3354294244633
358,-74.640035,44.966824,Curbside Bus Stop only (no shelter),2018-06-22T07:04:36,BUS,13655,NY,Hogansburg, ,935 State Highway 37, ,HGS,"Hogansburg, NY", , ,-74.6400369503133,44.9668330199624
359,-71.086375,42.773297,Platform with Shelter,2017-11-06T07:05:03,TRAIN,01832,MA,Haverhill, ,Washington Street at Railroad Square, ,HHL,"Haverhill, MA", , ,-71.0863756239726,42.7733057503761
360,-80.892232,37.675037,Station Building (with waiting room),2018-09-14T07:04:48,TRAIN,25951,WV,Hinton, ,100 Second Avenue, ,HIN,"Hinton, WV", , ,-80.892235401279,37.6750443887177
361,-124.072165,41.792839,Curbside Bus Stop only (no shelter),2018-09-26T07:04:45,BUS,95531,CA,Crescent City, ,2100 Highway 199, ,HIO,"Hiouchi, CA", ,Crescent City,-124.072179008158,41.7928441035343
362,-88.580295,47.126982,Curbside Bus Stop only (no shelter),2018-09-27T07:04:49,BUS,49930,MI,Hancock, ,125 Quincy Street, ,HKM,"Hancock, MI", , ,-88.5803016653381,47.1269906252122
363,-122.866305,45.537276,Curbside Bus Stop only (no shelter),2021-09-10T07:03:52,BUS,97006,OR,Hillsboro, ,2435 NE Town Center Drive, ,HLB,"Hillsboro, OR", , ,-122.86631951452,45.5372814462296
364,-99.370077,40.436013,Platform only (no shelter),2021-06-16T07:04:08,TRAIN,68949,NE,Holdrege, ,200 East Avenue, ,HLD,"Holdrege, NE", , ,-99.3700858247944,40.4360199004594
365,-72.602309,42.204156,Platform with Shelter,2017-11-06T07:05:03,TRAIN,01041,MA,Holyoke, ,74 Main Street, ,HLK,"Holyoke, MA", , ,-72.6023100861,42.2041645929736
366,-90.462169,30.50718,Station Building (with waiting room),2017-11-06T07:05:03,TRAIN,70401,LA,Hammond, ,404 N.W. Railroad Avenue, ,HMD,"Hammond, LA", , ,-90.4621747426147,30.5071855206002
367,-87.506511,41.691155,Station Building (with waiting room),2017-11-06T07:05:03,TRAIN,46320,IN,Hammond, ,1135 North Calumet Avenue, ,HMI,"Hammond-Whiting, IN", ,Whiting,-87.5065166951752,41.6911628281578
368,-87.668685,41.562446,Station Building (with waiting room),2017-11-06T07:05:04,TRAIN,60430,IL,Homewood, ,18015 Park Avenue, ,HMW,"Homewood, IL", , ,-87.6686907302104,41.5624537972614
369,-119.651816,36.326078,Station Building (with waiting room),2017-11-06T07:05:04,TRAIN,93230,CA,Hanford, ,200 Santa Fe Avenue #A, ,HNF,"Hanford, CA", , ,-119.651828626626,36.3260830064687
370,-78.154315,39.695275,Curbside Bus Stop only (no shelter),2023-03-20T12:03:28,BUS,21750,MD,Hancock, ,434 East Main Street, ,HNK,"Hancock, MD", , ,-78.1543176931752,39.6952829014064
371,-95.302025,29.735485,Station Building (with waiting room),2023-12-14T07:00:00,BUS,77011,TX,Houston, ,7000 Harrisburg Blvd,Greyhound Terminal,HOG,"Houston, TX",Greyhound Terminal, ,-95.3020319846903,29.7354901942114
372,-80.167884,26.011641,Station Building (with waiting room),2017-11-06T07:05:04,TRAIN,33021,FL,Hollywood, ,3001 Hollywood Boulevard, ,HOL,"Hollywood, FL", , ,-80.1678866791874,26.0116457469433
373,-86.096553,42.791096,Station Building (with waiting room),2017-11-06T07:05:04,TRAIN,49423,MI,Holland, ,171 Lincoln Avenue, ,HOM,"Holland, MI", , ,-86.0965583852556,42.7911040943858
374,-121.51162,45.709641,Station Building (with waiting room),2018-09-27T07:04:50,BUS,97031,OR,Hood River, ,110 Railroad Street, ,HOO,"Hood River, OR", ,"Bingen-White Salmon,White Salmon",-121.511634336521,45.7096465958966
375,-93.592247,33.668913,Station Building (with waiting room),2017-11-06T07:05:04,TRAIN,71801,AR,Hope, ,100 East Division Street, ,HOP,"Hope, AR", , ,-93.5922537495971,33.6689190464453
376,-95.367526,29.767245,Station Building (with waiting room),2018-12-22T07:03:26,TRAIN,77002,TX,Houston, ,902 Washington Avenue,Amtrak Station,HOS,"Houston, TX",Amtrak Station, ,-95.367533002958,29.7672501982188
377,-80.006097,35.957128,Station Building (with waiting room),2017-11-06T07:05:05,TRAIN,27260,NC,High Point, ,100 West High Avenue, ,HPT,"High Point, NC", , ,-80.0061000309405,35.9571350669214
378,-117.605297,43.855307,Curbside Bus Stop only (no shelter),2018-09-27T07:04:50,BUS,97906,OR,Harper, ,3459 U.S. Highway 20, ,HRP,"Harper, OR", , ,-117.605310310951,43.8553128461271
379,-124.081496,40.873347,Curbside Bus Stop only (no shelter),2022-03-04T07:04:02,BUS,95521,CA,Arcata, ,L K Wood Boulevard,Cal Poly Humboldt,HSU,"Arcata, CA",Cal Poly Humboldt,Humboldt State University,-124.081509867404,40.8733520428038
380,-74.79934,39.631317,Platform with Shelter,2018-09-27T07:04:50,TRAIN,08037,NJ,Hammonton, ,Egg Harbor Road & Line Street, ,HTN,"Hammonton, NJ", , ,-74.7993416360752,39.6313250139163
381,-73.797729,42.253891,Station Building (with waiting room),2017-11-06T07:05:05,TRAIN,12534,NY,Hudson, ,69 South Front Street, ,HUD,"Hudson, NY", , ,-73.7977304788066,42.2538995601078
382,-82.439735,38.41582,Station Building (with waiting room),2017-11-06T07:05:05,TRAIN,25701,WV,Huntington, ,1050 8th Avenue, ,HUN,"Huntington, WV", , ,-82.4397389163635,38.4158274719482
383,-97.931522,38.055712,Station Building (with waiting room),2017-11-06T07:05:05,TRAIN,67501,KS,Hutchinson, ,North Walnut Street & East 3rd Avenue, ,HUT,"Hutchinson, KS", , ,-97.9315302137434,38.0557186143944
384,-76.926115,34.891191,Curbside Bus Stop only (no shelter),2018-09-27T07:04:50,BUS,28532,NC,Havelock, ,201 Tourist Center Drive, ,HVL,"Havelock, NC", , ,-76.9261170436241,34.8911979431786
385,-85.469631,43.398305,Curbside Bus Stop only (no shelter),2018-09-27T07:04:50,BUS,49329,MI,Howard City, ,117 West Williams Street, ,HWC,"Howard City, MI", , ,-85.4696362577586,43.3983132315583
386,-116.233132,33.714863,Curbside Bus Stop only (no shelter),2018-09-29T07:04:42,BUS,92201,CA,Indio, ,82120 Highway 111, ,IDO,"Indio, CA", , ,-116.233143813319,33.7148679289041
387,-94.429711,39.086917,Platform only (no shelter),2024-09-20T07:00:00,TRAIN,64050,MO,Independence, ,600 South Grand Avenue, ,IDP,"Independence, MO", , ,-94.4297183933505,39.0869239896128
